,1994 ,1994 ,1995 ,1995 ,1996 ,1996 ,1997 ,1997 ,1998 ,1998 ,1999 ,1999 ,2000 ,2000 ,2001 ,2001 ,2002 ,2002 ,2003 ,2003 ,2004 ,2004 ,2005 ,2005 ,2006 ,2006 ,2007 ,2007 ,2008 ,2008 ,2009 ,2009 ,2010 ,2010 ,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018,2019,2019,2020,2020,2021,2021,2022,2022
crime/relationship with victim,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation,Intimate Partner,Domestic Relation
assault,3706 ,4741 ,3582 ,4296 ,4024 ,4220 ,3937 ,3912 ,5097 ,8268 ,6952 ,18805 ,8131 ,19881 ,8979 ,20379 ,8223 ,17573 ,8366 ,20201 ,10370 ,19129 ,9556 ,16955 ,9298 ,14862 ,9923 ,14898 ,10057 ,14563 ,10097 ,13290 ,8722 ,9843 ,8256 ,9287 ,8636 ,11005 ,8203 ,13373 ,7828 ,13801 ,9078 ,27127 ,11016 ,30772 ,10326 ,27689 ,9372 ,28919 ,9210 ,35073 ,8197 ,31265 ,8593 ,36424 ,9338 ,35340 
